;Santander;BBVA;CaixaBank;Sabadell;Bankinter;Unicaja
2022-01;0,296600952;0,233484834;0,308263189;0,397170167;0,294197973;0,30430172
2022-02;0,463079914;0,374266032;0,445320648;0,648913252;0,36767417;0,548129299
2022-03;0,519664862;0,56599078;0,515607453;0,720064776;0,607807786;0,568893273
2022-04;0,379307526;0,367409285;0,335514367;0,473793834;0,350230099;0,590627046
2022-05;0,332955742;0,315389144;0,340195336;0,442619923;0,310718636;0,318193882
2022-06;0,385029554;0,452282414;0,414177526;0,476268734;0,429712357;0,48837472
2022-07;0,374097623;0,404195858;0,60156727;0,610720482;0,555404984;0,538842915
2022-08;0,239487579;0,229584011;0,241315453;0,296618849;0,193259405;0,292346085
2022-09;0,333005921;0,305510767;0,403118392;0,495851337;0,380984969;0,475274811
2022-10;0,359822459;0,263465665;0,35105588;0,282418976;0,25820796;0,332521939
2022-11;0,272455934;0,155241912;0,283233809;0,262489704;0,317042065;0,186490377
2022-12;0,193850559;0,213892457;0,281776518;0,254991145;0,250260508;0,347950039
2023-01;0,239621077;0,207909151;0,215747223;0,415239081;0,246084438;0,485989894
2023-02;0,316981336;0,226093991;0,243578131;0,305056933;0,262751735;0,21008299
2023-03;0,524166256;0,596718521;0,471247675;0,734637319;0,563148879;0,450300813
2023-04;0,375181059;0,29049151;0,355798056;0,42269409;0,274558451;0,463720849
2023-05;0,224259728;0,320066044;0,269547644;0,278138753;0,269158772;0,222841315
2023-06;0,263115499;0,213340003;0,23318699;0,262215761;0,17600374;0,17489425
2023-07;0,254403547;0,172799395;0,179703317;0,227742852;0,276596027;0,276626839
2023-08;0,205301194;0,222627638;0,212882677;0,25485437;0,217444753;0,301560161
2023-09;0,25149918;0,21354835;0,192197106;0,247231509;0,200687972;0,173870155
2023-10;0,246995055;0,178785959;0,230722329;0,389077105;0,252905434;0,268579873
2023-11;0,135281274;0,186207556;0,145808114;0,219375888;0,15848892;0,199642244
2023-12;0,187083628;0,116336664;0,195198282;0,308311399;0,197861772;0,159902404
2024-01;0,244004619;0,282031239;0,248333835;0,306418721;0,318218424;0,2993867
2024-02;0,265740694;0,198004702;0,170388135;0,258337605;0,192051389;0,315864629
2024-03;0,136995987;0,156673872;0,146431764;0,163877306;0,155724621;0,134427036
2024-04;0,302112957;0,386058309;0,263742488;0,438980865;0,224051335;0,261754721
2024-05;0,175081977;0,355146961;0,225937923;0,272622561;0,196637768;0,218003873
2024-06;0,228320061;0,269777637;0,333533048;0,246929476;0,297456259;0,253552025
2024-07;0,280984778;0,237429566;0,178665808;0,242016646;0,246409906;0,276540586
2024-08;0,30816837;0,284339529;0,326436053;0,335242083;0,279524021;0,239655132
2024-09;0,238193968;0,270759784;0,267889965;0,269624459;0,16030519;0,259818441
2024-10;0,24626521;0,236189979;0,280244372;0,2978595;0,245270427;0,293524758
2024-11;0,319294722;0,390779533;0,362367508;0,366271035;0,301480016;0,309946381
2024-12;0,282390798;0,232717799;0,213808325;0,257636916;0,221160422;0,241750914